permno,rp_entity_id
10012,EEF6A8
10026,B72BE9
10028,B9BDE8
10031,91E312
10032,A2CAF7
10044,B02CF5
10051,CD051C
10065,4C5BC2
10066,179A00
10080,0C7A50
10085,557F48
10089,E4D134
10104,D6489C
10107,228D42
10116,F8C01E
10138,2F94A5
10145,FF6644
10155,1A07AC
10158,1272B3
10200,A7F7C1
10207,2CBE91
10220,D9E036
10232,D56326
10252,E8B315
10257,BDA665
10258,ECEC1A
10259,B1A8D6
10294,F2C9CB
10308,72F0FC
10318,D3FD6D
10333,A26EF7
10349,6E20CF
10355,F6DA75
10362,F010E9
10382,DDB002
10386,F5F54E
10388,73F84B
10397,D78BF1
10421,FF5413
10443,0FE3A6
10463,B01215
10469,B85329
10477,77C88F
10488,4F8B94
10501,0968A5
10512,2AA598
10514,062E4E
10516,2B7A40
10517,D518D8
10530,4BBA23
10547,182B8C
10550,8DB139
10556,009B60
10563,646A39
10606,F32F88
10608,705E27
10629,C32A39
10634,F07E06
10645,CF211D
10649,FACCF6
10656,C87F45
10661,E23B1A
10674,9081AD
10686,27C743
10693,BE14CF
10696,190B91
10772,6F3A27
10775,289359
10777,270305
10779,4CF9F7
10781,B09B8F
10808,1ED7F0
10812,2EBC0B
10822,0A2EB8
10860,E20392
10863,12DA45
10866,AD22F2
10874,07CA6A
10886,5D6092
10890,C99CC8
10892,08A40F
10894,3A4404
10901,F6A987
10932,B5766D
10933,F0B2B5
10966,514067
10974,B667A1
11005,32C5DB
11006,BE86A1
11018,EF9E92
11040,7500E6
11043,5EF2E9
11048,1B9531
11077,74933B
11082,6C6C50
11110,55F471
11118,A13186
11144,03542C
11153,82A592
11154,D2C0B6
11174,905356
11208,0C4F5C
11240,373FFD
11246,9E6606
11267,7740DE
11275,346BF2
11278,F63B67
11285,F294DD
11292,F43B50
11293,29A4CC
11306,F163A7
11308,EEA6B3
11313,BB4857
11348,5B35C7
11358,4E9081
11361,F11238
11368,8F6488
11369,EE1E44
11370,1096C6
11379,032819
11394,450559
11396,A9C528
11397,ECDEB2
11401,5B3C91
11403,CC6FF5
11404,97AAF6
11441,D8E3EA
11442,907ED2
11481,5B226B
11485,5283BA
11499,7FD8B9
11511,6FC071
11513,AE54DF
11533,A247F5
11541,14ADFC
11547,F1CD47
11565,1216D1
11581,75768D
11587,147098
11593,88D80A
11600,2BF36E
11618,92D3A0
11628,3696BF
11636,02FC1A
11644,4D72C8
11647,1D38FA
11649,C4798D
11652,5C1B2C
11654,18A796
11664,6DDA15
11665,4C97E6
11674,7AC86E
11691,0560D8
11701,04CCCD
11713,70B0F9
11728,79E74B
11729,8DEB0E
11731,EE967B
11745,809902
11748,E84500
11752,C0BA36
11754,96BFF4
11762,C4073B
11775,9981C6
11786,DBCA3F
11790,2FF046
11803,E1BD05
11809,A398F8
11833,1EBD94
11839,A6BF17
11844,31A7CC
11845,DB2D9E
11850,E70531
11851,0E36FE
11884,FFCD0E
11891,8E8E6E
11945,D7CD30
11946,52B849
