permno,rp_entity_id
10104,D6489C
10107,228D42
10138,2F94A5
10145,FF6644
10516,2B7A40
10693,BE14CF
10696,190B91
10874,07CA6A
10890,C99CC8
11308,EEA6B3
11403,CC6FF5
11404,97AAF6
11533,A247F5
11600,2BF36E
11618,92D3A0
11674,7AC86E
11754,96BFF4
11762,C4073B
11786,DBCA3F
11850,E70531
11891,8E8E6E
11955,616E3B
12052,DCD97F
12060,1921DD
12062,9F6B1A
12076,707E4D
12084,351EC3
12308,D88EF3
12345,C87ECC
12369,1BC12C
12431,5A6336
12448,C7859D
12449,D29B44
12476,EAEBF3
12490,8D4486
12558,AA5C8E
12570,726EEA
12622,34B97A
12623,A1EAC8
12872,2D2D43
12981,21DED4
13035,F46EC9
13103,64CEBB
13142,467C65
13168,D82EF3
13210,88923D
13323,C44D01
13356,3FACA7
13407,12E454
13447,BB88B6
13511,A52B6B
13586,322A44
13641,E15736
13688,652E62
13721,665D7D
13760,56CC0A
13788,C03C8B
13856,013528
13901,2BA977
13911,7E3F8F
13928,FE89E0
13936,414FFF
13949,87B81A
13963,DD1BA1
13964,DD1BA1
13983,F18844
14008,76F067
14277,164D72
14297,9A3FF4
14338,66E04A
14541,D54E62
14542,4A6F00
14579,7F9984
14593,D8442A
14601,41785E
14702,A4BCDE
14714,3DC887
14763,44A4FC
14776,3D9999
14795,66749D
14882,34A959
14889,BFE02C
14939,E4CE73
15069,902670
15202,57B174
15272,73F28D
15291,FF4C20
15408,C356AC
15456,0CE7F6
15488,03CF95
15579,39BFF6
15707,DBB28E
15719,A6FE1C
15720,E10D31
15850,622DBE
15980,41EC04
16044,5AF08A
16087,567F3D
16276,2AE625
16342,F88FA9
16343,33FD66
16347,D93A25
16431,5CC29D
16432,A666C8
16538,890C4E
16581,6B236C
16600,9F03CF
16678,95DC1F
16692,EEEA9F
16816,7A51FE
16851,C8A248
17005,69CE71
17144,9CA619
17307,106394
17478,CFF97C
17676,FC4652
17700,94208D
17726,92B047
17743,B8F71F
17750,3DE4D1
17783,0CC62B
17830,2667B6
17942,14C7B2
18065,04B630
18142,28F905
18143,278DC5
18163,2E61CC
18312,8EA478
18411,147C38
18420,7BFF81
18421,7BFF81
18428,BA2D83
18542,767F86
18576,D90F43
18578,74404C
18592,3FB145
18724,DF8855
18729,EB6965
19166,188394
19285,32BBAA
19286,C20B75
19350,431B74
19393,94637C
19502,FACF19
19561,55438C
19583,0BF4BA
19807,6B613D
20053,FE7A63
20057,508CFD
20190,09E31A
20191,EA2F1C
