PERMNO,RP_ENTITY_ID
10001,6C6B16
10002,A162E8
10006,DCC5CC
10012,EEF6A8
10016,2CE594
10019,QLCS85
10025,6B1A36
10026,B72BE9
10028,B9BDE8
10031,91E312
10032,A2CAF7
10039,997E84
10042,728298
10044,B02CF5
10051,CD051C
10065,4C5BC2
10066,179A00
10066,2E83D7
10078,7ABC23
10080,0C7A50
10082,229150
10082,686DB1
10085,557F48
10089,E4D134
10092,9A7789
10100,73179A
10104,D6489C
10107,228D42
10108,841A0D
10114,A9AC60
10116,F8C01E
10119,24436D
10123,DDCD9E
10128,F69449
10137,B25172
10138,2F94A5
10142,HPGBCD
10143,47B000
10145,FF6644
10147,BA5900
10149,DEDE72
10154,F10FF4
10155,1A07AC
10158,1272B3
10163,CA86E8
10180,232FB4
10182,EDC0EB
10189,10901F
10197,4A7237
10200,A7F7C1
10201,8F6F71
10205,900900
10207,2CBE91
10208,6DCC1F
10211,B78186
10216,1F2C25
10218,C1F978
10220,D9E036
10223,1EB0FD
10225,A20989
10226,A90720
10232,D56326
10238,F596EE
10239,DA8AED
10252,E8B315
10253,8A46B6
10256,DD9F6C
10257,BDA665
10258,ECEC1A
10259,B1A8D6
10271,F6217B
10272,46F3E2
10275,A107E0
10281,D4CC07
10290,281305
10297,760446
10299,1256D8
10302,41AC62
10304,1563CA
10308,72F0FC
10316,3A9E30
10318,D3FD6D
10324,249208
10325,A26688
10333,A26EF7
10342,113D7F
10349,6E20CF
10353,AC31A2
10355,F6DA75
10362,F010E9
10363,E55C64
10371,A26938
10375,4E831B
10382,DDB002
10383,2F9C5F
10386,F5F54E
10388,73F84B
10395,6FCC0B
10397,D78BF1
10401,17CAC1
10404,6D6CBE
10412,FB6B52
10418,84F6A6
10420,AD1141
10421,FF5413
10422,FCA418
10439,E35816
10443,0FE3A6
10449,A4EBFC
10463,B01215
10469,B85329
10471,F29DC1
10477,77C88F
10482,0D0AAD
10488,4F8B94
10501,0968A5
10507,F0781D
10512,2AA598
10513,E71794
10514,062E4E
10516,2B7A40
10517,D518D8
10520,F5FBC6
10522,79E6AE
10530,4BBA23
10545,7B8B2F
10547,182B8C
10550,8DB139
10556,009B60
10560,C8C45A
10560,F3A480
10562,F50039
10563,646A39
10564,DF58AF
10568,75A90A
10574,47CF33
10586,4994A1
10597,A3664A
10604,B4575F
10606,F32F88
10608,705E27
10623,C7859D
10629,C32A39
10634,F07E06
10636,E7F033
10637,75AC5C
10638,730B16
10644,F54D24
10645,CF211D
10649,FACCF6
10656,C87F45
10657,F44849
10659,DFAEC5
10661,E23B1A
10667,D10C37
10674,9081AD
10686,27C743
10689,664EF0
10691,FCA889
10693,BE14CF
10696,190B91
10713,C4FF74
10725,E9A20F
10745,01DA6F
10750,C818A2
10753,40A345
10769,E06A83
10772,6F3A27
10775,289359
10777,270305
10779,4CF9F7
10779,D22689
10780,D5797A
10781,B09B8F
10785,16C4E9
10786,288383
10790,C4DC79
10791,F22D3B
10806,4F2BAA
10808,1ED7F0
10812,2EBC0B
10822,0A2EB8
10825,DD19C5
10838,4AB373
10843,0D3EC6
10853,1D7375
10860,E20392
10863,12DA45
10866,AD22F2
10874,07CA6A
10875,47C6C7
10876,B44C22
10881,94CB63
10886,5D6092
10889,37429E
10890,C99CC8
10892,08A40F
10894,3A4404
10901,F6A987
10902,FFDD84
10904,E92590
10906,862713
10909,9743E5
10913,D55643
10916,EC847C
10924,25A6CB
10926,927EB7
10928,49570B
10932,B5766D
10933,F0B2B5
10942,29DC0D
10952,3BD0B3
10963,860048
10966,514067
10974,B667A1
10984,606CA7
10989,A4B7EE
10994,D937D4
10999,62721E
11003,C6F720
11006,BE86A1
11012,8078ZX
11018,EF9E92
11038,317B34
11040,7500E6
11042,B98B67
11043,5EF2E9
11048,1B9531
11054,4A23D0
11055,D1E773
11056,8CBA5D
11072,CFDF47
11077,74933B
11081,33AD83
11082,6C6C50
11083,42B3D7
11088,A6B1AF
11110,55F471
11114,410C88
11118,A13186
11119,B91F16
11122,7DAAE7
11127,NWM9EP
11131,6BAE15
11132,65F629
11137,342580
11139,91508F
11144,03542C
11153,82A592
11154,D2C0B6
11157,AE0D83
11159,44B15A
11161,FB6ECF
11162,F509E2
11170,722893
11174,905356
11181,43A226
11197,97219C
11203,55CEA5
11208,0C4F5C
11224,HOUOMZ
11240,373FFD
11246,9E6606
11267,7740DE
11275,346BF2
11278,F63B67
11285,F294DD
11292,F43B50
11293,29A4CC
11306,F163A7
11308,EEA6B3
11313,BB4857
11315,5FFF10
11318,2603F1
11342,C9D31E
11343,00698D
11348,5B35C7
11353,B77507
11357,3EDCD7
11358,4E9081
11361,F11238
11365,4360E4
11368,8F6488
11369,EE1E44
11370,1096C6
11371,F2F061
11378,57604E
11379,032819
11381,8D9876
11382,9DFF0E
11384,CA7B72
11389,1FA9EE
11390,B97610
11393,A2EF89
11394,450559
11396,A9C528
11397,ECDEB2
11401,5B3C91
11402,04ABF3
11403,CC6FF5
11404,97AAF6
11406,B67F76
11411,58E2FD
11414,222612
11415,7EC821
11425,0705CA
11426,C8C606
11441,D8E3EA
11442,907ED2
11446,ED31BF
11456,8DBB7D
11459,889E58
11475,41944E
11477,91597F
11478,DC6AA0
11481,5B226B
11483,7B0EBB
11485,5283BA
11490,60A790
11499,7FD8B9
11506,7FEDEF
11508,616589
11509,545252
11510,96CB39
11511,6FC071
11513,AE54DF
11514,4481BA
11522,9A9A37
11531,BEF79E
11533,A247F5
11541,14ADFC
11547,F1CD47
11552,70E789
11556,8D970B
11561,B175E6
11565,1216D1
11571,A8F844
11581,75768D
11587,147098
11593,88D80A
11599,B51823
11600,2BF36E
11601,AF4B75
11607,0C2A0D
11618,92D3A0
11625,34FB9B
11628,3696BF
11631,D7FE6B
11633,8957A2
11634,E18C3C
11636,02FC1A
11638,9470BB
11641,4DFA11
11642,7A9885
11643,82178C
11644,4D72C8
11647,1D38FA
11649,C4798D
11651,451B22
11652,5C1B2C
11653,0588A4
11654,18A796
11656,E0DA3E
11662,91A06A
11664,6DDA15
11665,4C97E6
11667,74FCA5
11674,7AC86E
11677,51959A
11678,6D1E94
11681,E1B7A4
11688,956F65
11689,C423CA
11691,0560D8
11701,04CCCD
11703,93F9E0
11707,F06C70
11713,70B0F9
11723,F7DC8D
11728,79E74B
11729,8DEB0E
11731,EE967B
11737,01C7E0
11739,040D38
11745,809902
11748,E84500
11750,C87511
11752,C0BA36
11754,96BFF4
11755,3BC9F6
11760,DA5B15
11762,C4073B
11775,9981C6
11781,C4960A
11785,75F982
11786,DBCA3F
11790,2FF046
11803,E1BD05
11805,533048
11809,A398F8
11823,A3758C
11825,B96637
11833,1EBD94
11839,A6BF17
11844,31A7CC
11845,DB2D9E
11847,2EB985
11850,E70531
11851,0E36FE
11854,12E845
11856,9B591F
11866,1A33D6
11868,8BA0DE
11873,74689A
11874,298A9B
11881,5999D3
11884,FFCD0E
11887,AABC66
11891,8E8E6E
11895,40C309
11896,22C58E
11898,6C10BF
11901,35E7DF
11903,71AD58
11908,0ABF4C
11910,467BA2
11917,161B64
11923,778A03
11927,6534C9
11929,7D6175
11933,650E02
11938,787667
11945,D7CD30
11946,52B849
11948,C0BA7B
11952,6161BA
11955,616E3B
11956,F8F54D
11970,BC6330
11976,BC6055
11983,FE5A02
11990,F48162
11992,4B3DC9
11993,4778B7
11995,97AF94
11997,C83B88
11998,7627BF
11999,5FD6EF
12002,EXBALB
12003,6AE1CA
12007,6A2EE9
12008,8EDACA
12009,1A5D5D
12010,07649C
12011,F23A63
12014,716250
12017,0C2D89
12018,819C81
12021,6EA686
12022,14FF26
12023,8494B9
12025,AC8150
12026,574F8C
12027,7F9947
12030,812BD2
12032,2DD4A9
12034,7D9216
12036,FD0CA4
12038,CA2F0B
12043,339F83
12045,B263F4
12049,D15833
12051,B0BC23
12052,DCD97F
12056,CD30ED
12057,741256
12060,1921DD
12062,9F6B1A
12063,CEEB5A
12067,7ABE86
12068,D8760C
12070,E802CE
12072,188860
12073,449A26
12074,285E06
12076,707E4D
12078,673C9A
12079,248F44
12080,A3D2DE
12081,D42627
12085,DFD21C
12088,13BF04
12089,3B2311
12090,3423A0
12092,9CE4C7
12093,9810C0
12097,D93E9F
12101,CB278E
12102,2385F2
12104,F3A306
12106,2B25A1
12113,F94F7D
12117,845EA0
12118,AABF86
12122,81EEBA
12129,BC6A81
12138,C63433
12140,C35C7D
12141,489852
12146,FC1736
12149,3DC202
12165,94D384
12166,D0DFE5
12169,8B7567
12171,CCDE29
12173,E8C0B4
12175,D35D23
12178,231C25
12188,E5AAA3
12189,F8BDCE
12190,80B949
12195,QRDTZI
12199,318FFA
12202,08324A
12203,1D9A5D
12209,8EBF9F
12211,E2F130
12214,3D09C3
12217,B671F6
12222,AC3182
12226,372037
12236,0308A3
12248,FE4F69
12252,618F44
12260,45AB80
12262,923F83
12265,2F0311
12266,CBB77B
12267,F2102B
12268,AD40C6
12276,CD1B22
12281,407D4B
12291,36D25A
12293,677218
12307,E22FDE
12308,D88EF3
12309,B5765A
12310,4489E3
12312,0B5BDC
12319,17C245
12323,71C638
12324,B7FF9A
12325,FFAD82
12329,6F39FC
12330,6A9F42
12332,1DD3A3
12333,8E09D9
12337,A4C731
12338,956DE3
12339,5539E2
12340,E8B661
12342,BFB020
12347,7E2521
12348,F724D3
12349,428CF0
12350,245432
12352,2156BB
12353,8924DA
12354,7DE645
12355,E22153
12356,E14E03
12357,1C9909
12358,F9B86F
12359,3A9ECD
12360,6A01DF
12362,CDEDFE
12363,8B8656
12364,5C74F1
12365,28182A
12366,D598E7
12367,F36103
12369,1BC12C
12371,48AM5Q
12371,AYG13P
12373,9368BE
12374,059D0F
12377,C23905
12380,23207A
12384,7B7B1D
12385,4C0E42
12387,18DF83
12388,2B5F15
12389,C2E72D
12390,AAA235
12391,AF30BC
12392,9815CC
12396,2B1C14
12397,7A433C
12398,5EB392
12399,206120
12400,009397
12401,15A960
12402,AE8261
12403,1BCF15
12406,344C45
12409,B6DE40
12410,5CE300
12411,D5E3FF
12413,8B9B3B
12424,744BA4
12431,5A6336
12437,19F9BC
12439,7649BD
12440,4E4BAB
12444,7515BD
12446,D3CBAC
12447,21A365
12448,C7859D
12449,D29B44
12450,D07ED1
12451,E64301
12452,B08C51
12454,F391D6
12455,FE2612
12456,B6B014
12458,E76FA2
12464,7887DA
12473,6A8B40
12473,ED9576
12476,EAEBF3
12477,1F19C8
12478,2914B1
12479,14120E
12480,0B2071
12481,4D3E43
12484,FA1239
12485,8142A0
12486,95546B
12487,485CDC
12488,142E85
12489,F7F7E0
12490,8D4486
12492,ED046E
12493,7A5097
12494,C4145A
